x,variable,value,L1,site,,,
09/09/1986,y,NA,TM,Gs4,,,
09/09/1986,y,NA,TM,Reveg,,,
09/09/1986,y,NA,TM,Sval1,,,
09/09/1986,y,NA,TM,Sval3,,,
09/09/1986,y,NA,TM,Sval6,,,
09/09/1986,y,NA,TM,Sval7,,,
09/09/1986,y,NA,TM,Sval8,,,
09/09/1986,y,NA,TM,Sval9,,,
16/09/1986,y,NA,TM,As,,,
16/09/1986,y,NA,TM,Gs1,,,
16/09/1986,y,NA,TM,Gs2,,,
16/09/1986,y,NA,TM,Gs3,,,
16/09/1986,y,NA,TM,Gs4,,,
16/09/1986,y,NA,TM,Reveg,,,
16/09/1986,y,NA,TM,Sval1,,,
16/09/1986,y,NA,TM,Sval6,,,
16/09/1986,y,NA,TM,Sval7,,,
16/09/1986,y,NA,TM,Sval8,,,
18/09/1986,y,0.369,TM,Gs1,,,
18/09/1986,y,0.338,TM,Gs2,,,
18/09/1986,y,0.393,TM,Gs3,,,
18/09/1986,y,0.387,TM,Gs4,,,
18/09/1986,y,0.38,TM,Reveg,,,
18/09/1986,y,NA,TM,Sval1,,,
18/09/1986,y,NA,TM,Sval3,,,
18/09/1986,y,NA,TM,Sval6,,,
18/09/1986,y,NA,TM,Sval9,,,
25/09/1986,y,NA,TM,As,,,
25/09/1986,y,NA,TM,Gs1,,,
25/09/1986,y,NA,TM,Gs2,,,
25/09/1986,y,NA,TM,Gs3,,,
25/09/1986,y,NA,TM,Gs4,,,
25/09/1986,y,NA,TM,Reveg,,,
25/09/1986,y,NA,TM,Sval1,,,
25/09/1986,y,NA,TM,Sval3,,,
25/09/1986,y,NA,TM,Sval6,,,
25/09/1986,y,NA,TM,Sval7,,,
25/09/1986,y,NA,TM,Sval8,,,
25/09/1986,y,NA,TM,Sval9,,,
02/10/1986,y,NA,TM,As,,,
02/10/1986,y,NA,TM,Gs1,,,
02/10/1986,y,NA,TM,Gs2,,,
02/10/1986,y,NA,TM,Gs3,,,
02/10/1986,y,NA,TM,Gs4,,,
02/10/1986,y,NA,TM,Reveg,,,
02/10/1986,y,NA,TM,Sval1,,,
02/10/1986,y,NA,TM,Sval3,,,
02/10/1986,y,NA,TM,Sval6,,,
02/10/1986,y,NA,TM,Sval7,,,
02/10/1986,y,NA,TM,Sval8,,,
02/10/1986,y,NA,TM,Sval9,,,
11/10/1986,y,0.408,TM,As,,,
11/10/1986,y,0.346,TM,Gs1,,,
11/10/1986,y,0.322,TM,Gs2,,,
11/10/1986,y,0.369,TM,Gs3,,,
11/10/1986,y,0.34,TM,Gs4,,,
11/10/1986,y,0.33,TM,Reveg,,,
11/10/1986,y,0.353,TM,Sval1,,,
11/10/1986,y,0.354,TM,Sval3,,,
11/10/1986,y,0.294,TM,Sval6,,,
11/10/1986,y,0.337,TM,Sval7,,,
11/10/1986,y,0.301,TM,Sval8,,,
11/10/1986,y,0.309,TM,Sval9,,,
18/10/1986,y,0.366,TM,As,,,
18/10/1986,y,NA,TM,Gs1,,,
18/10/1986,y,NA,TM,Gs2,,,
18/10/1986,y,NA,TM,Gs3,,,
18/10/1986,y,NA,TM,Gs4,,,
18/10/1986,y,NA,TM,Reveg,,,
18/10/1986,y,0.311,TM,Sval1,,,
18/10/1986,y,0.299,TM,Sval3,,,
18/10/1986,y,0.252,TM,Sval6,,,
18/10/1986,y,0.301,TM,Sval7,,,
18/10/1986,y,0.258,TM,Sval8,,,
18/10/1986,y,0.272,TM,Sval9,,,
20/10/1986,y,NA,TM,Gs1,,,
20/10/1986,y,NA,TM,Gs2,,,
20/10/1986,y,0.093,TM,Gs3,,,
20/10/1986,y,0.1,TM,Gs4,,,
20/10/1986,y,NA,TM,Reveg,,,
20/10/1986,y,NA,TM,Sval1,,,
20/10/1986,y,NA,TM,Sval3,,,
20/10/1986,y,NA,TM,Sval6,,,
20/10/1986,y,NA,TM,Sval7,,,
20/10/1986,y,NA,TM,Sval8,,,
20/10/1986,y,NA,TM,Sval9,,,
05/04/1987,y,NA,TM,As,,,
05/04/1987,y,NA,TM,Gs1,,,
05/04/1987,y,NA,TM,Gs2,,,
05/04/1987,y,NA,TM,Gs3,,,
05/04/1987,y,NA,TM,Gs4,,,
05/04/1987,y,NA,TM,Reveg,,,
05/04/1987,y,NA,TM,Sval1,,,
05/04/1987,y,NA,TM,Sval3,,,
05/04/1987,y,NA,TM,Sval6,,,
05/04/1987,y,NA,TM,Sval7,,,
05/04/1987,y,NA,TM,Sval8,,,
05/04/1987,y,NA,TM,Sval9,,,
12/04/1987,y,NA,TM,As,,,
12/04/1987,y,NA,TM,Gs1,,,
12/04/1987,y,NA,TM,Gs2,,,
12/04/1987,y,NA,TM,Gs3,,,
12/04/1987,y,NA,TM,Gs4,,,
12/04/1987,y,NA,TM,Reveg,,,
12/04/1987,y,NA,TM,Sval1,,,
12/04/1987,y,NA,TM,Sval3,,,
12/04/1987,y,NA,TM,Sval6,,,
12/04/1987,y,NA,TM,Sval7,,,
12/04/1987,y,NA,TM,Sval8,,,
12/04/1987,y,NA,TM,Sval9,,,
